PhCGKD@GK_h@H@C_`GGH@_cC n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PUWooWE?oB?E?E?BO?u?EW?W n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PQIQPGQAOH?Q_QOHCAS_QQ@G n=17 m=34 bipUB=4 ratio=4/289 0.013840830
PQGSQGaCOPOaOaGPACSOaPAG n=17 m=34 bipUB=4 ratio=4/289 0.013840830
PQGOSHAGS`HAHAC`@GSHAOcG n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PQGOOIAoR@EAEAB@?oSEAOWG n=17 m=34 bipUB=8 ratio=8/289 0.027681661
PCp`_oK@_E?K?K_EW@b?KK?o n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PCQa`OSA_I?S_SOISAa_SI@O n=17 m=34 bipUB=8 ratio=8/289 0.027681661
PCO__QCobAECECBAOoaECGWO n=17 m=34 bipUB=4 ratio=4/289 0.013840830
P?bB@_WB?K?W_WoKKB@_WE@_ n=17 m=34 bipUB=4 ratio=4/289 0.013840830
P?`DA_gD?SOgOggSID@OgDA_ n=17 m=34 bipUB=6 ratio=6/289 0.020761246
P?`@C`GHCcHGHGccHH@HGCc_ n=17 m=34 bipUB=4 ratio=4/289 0.013840830
P?AA@AOqBGEOeORGCq?eOAX? n=17 m=34 bipUB=6 ratio=6/289 0.020761246
P??CE@_KCoX_X_KoBK?X_@e? n=17 m=34 bipUB=8 ratio=8/289 0.027681661
P??CAA_sBOU_U_JOAs?U_@Y? n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PlUihSTAgI_T_TOIsAi_Ti@S n=17 m=51 bipUB=9 ratio=9/289 0.031141869
PhdLIchDGSohOhgSiDHOhdAc n=17 m=51 bipUB=9 ratio=9/289 0.031141869
PUWooYEorBEEEEBBOouEEWWW n=17 m=51 bipUB=9 ratio=9/289 0.031141869
PQIQPIQqRHEQeQRHCqSeQQXG n=17 m=51 bipUB=9 ratio=9/289 0.031141869
PQGSUHaKSpXaXaKpBKSXaPeG n=17 m=51 bipUB=9 ratio=9/289 0.031141869
PCrb`o[B_M?[_[oM[Bb_[M@o n=17 m=51 bipUB=9 ratio=9/289 0.031141869
P??CEB_{Fo^_^_NoB{?^_@}? n=17 m=51 bipUB=9 ratio=9/289 0.031141869
QlSggSD?gA_D?D?A_?k?DO?U_?g n=18 m=36 bipUB=0 ratio=0/324 0.000000000
QhdHGcH@GC_H?H?Co@I?HG?eO@G n=18 m=36 bipUB=6 ratio=6/324 0.018518519
QhEIHCPAGG_P?P_GgAH?PC@EGAG n=18 m=36 bipUB=0 ratio=0/324 0.000000000
QhCGKD@GG_p@P@G_aGGP@@CEAGG n=18 m=36 bipUB=0 ratio=0/324 0.000000000
QhCGGE@OL?i@I@D?`OGI@?gE@OG n=18 m=36 bipUB=4 ratio=4/324 0.012345679
QhCGGC@_I?c@C@A?__GC@?OE?_G n=18 m=27 bipUB=0 ratio=0/324 0.000000000
QUWooWE?oB?E?E?B??s?Eo?X_?o n=18 m=36 bipUB=6 ratio=6/324 0.018518519
QQIQPGQAOH?Q?Q_HGAP?Qc@HGAO n=18 m=36 bipUB=6 ratio=6/324 0.018518519
QQGOSHAGO`PAPAG`AGOPA`CHAGO n=18 m=36 bipUB=4 ratio=4/324 0.012345679
QQGOOGA_Q@CACAA@?_OCA_OH?_O n=18 m=27 bipUB=2 ratio=2/324 0.006172840
QCp`_oK@_E?K?K?EO@e?KW?oo@_ n=18 m=36 bipUB=6 ratio=6/324 0.018518519
QCQa`OSA_I?S?S_IGAd?SS@OgA_ n=18 m=36 bipUB=0 ratio=0/324 0.000000000
QCO_cPCG_aPCPCGaAGcPCPCOaG_ n=18 m=36 bipUB=0 ratio=0/324 0.000000000
QCO__QCOdAICICDA@OcICOgO`O_ n=18 m=36 bipUB=6 ratio=6/324 0.018518519
QCO__OC_aACCCCAA?_cCCOOO___ n=18 m=27 bipUB=0 ratio=0/324 0.000000000
Q?bB@_WB?K?W?W_KWBB?WK@_WB? n=18 m=36 bipUB=4 ratio=4/324 0.012345679
Q?`@?_G`ACCGCGACO`ACGGO_O`? n=18 m=27 bipUB=2 ratio=2/324 0.006172840
Q?AAD@OI?gPOPOggII@PODD?II? n=18 m=36 bipUB=0 ratio=0/324 0.000000000
Q?AA@?OaAGCOCOaGGa@COCP?Ga? n=18 m=27 bipUB=0 ratio=0/324 0.000000000
Q???CB?WD_Z?Z?L_BW?Z?@k?BW? n=18 m=36 bipUB=6 ratio=6/324 0.018518519
Q???C@?gA_T?T?I_Ag?T?@S?Ag? n=18 m=27 bipUB=0 ratio=0/324 0.000000000
QlUihSTAgI_T?T_IgAl?TS@UgAg n=18 m=54 bipUB=0 ratio=0/324 0.000000000
QlSgkTDGgapDPDGaaGkPDPCUaGg n=18 m=54 bipUB=0 ratio=0/324 0.000000000
QlSggUDOlAiDIDDA`OkIDOgU`Og n=18 m=54 bipUB=10 ratio=10/324 0.030864198
QlSggSD_iAcDCDAA__kCDOOU__g n=18 m=45 bipUB=0 ratio=0/324 0.000000000
QhdHGcH`ICcHCHACo`ICHGOeO`G n=18 m=45 bipUB=6 ratio=6/324 0.018518519
