UUWooYEorBEEEEbBWorEEKWWWooWosKWZBEEWWoo n=22 m=88 bip=16 ratio=16/484 0.033057851
UQIURGqeQXCqCqaXGePCqcRJGeRGePcRIXCqRGeO n=22 m=88 bip=16 ratio=16/484 0.033057851
U?bFF`wN?{@w@w?{?NC@woFb_NF_NBoF_{@wF_N? n=22 m=88 bip=16 ratio=16/484 0.033057851
VlUilTTIgi`T@T?i_Ig@T_DT?Il?Ii_DUg@TT?IlS?i_ n=23 m=92 bip=16 ratio=16/529 0.030245747
VhdLIchdISchChASodIChGQeOdIOdLGQdQChIOdKhAS_ n=23 m=92 bip=16 ratio=16/529 0.030245747
VhCKIE`SLOi`I`dOhSLI`SiEhSIhSHSiCTI`AhSKIdO_ n=23 m=92 bip=16 ratio=16/529 0.030245747
VUWosXEGobPEpEWbEGopEbCXEGpEGobCYGpEpEGrCWb? n=23 m=92 bip=16 ratio=16/529 0.030245747
VUWooYEorBEEEEBBOouEEWWWooooooWWYEEEooorBBB? n=23 m=92 bip=16 ratio=16/529 0.030245747
VQIQPIQQPHQQqQXHEQSqQRHGeQSeQQRHGcqQceQQQXH? n=23 m=92 bip=16 ratio=16/529 0.030245747
VQGSQGacUPKaKaePXcRKaKqIXcQXcPKqGRKaaXcQHeP? n=23 m=92 bip=16 ratio=16/529 0.030245747
VCrb`o[B_MO[o[WMEB_o[B@oEBcEBeB@r_o[[EB`oWM? n=23 m=92 bip=16 ratio=16/529 0.030245747
V?bFF`wN?{@w@w?{?N?@w_Fb?NF?NF_F`w@wN?N?{?{? n=23 m=92 bip=16 ratio=16/529 0.030245747
V????A?oF?]?}?~?^oF}?^w?~o?~o?^w?F}??~o?B~?? n=23 m=92 bip=16 ratio=16/529 0.030245747
WhdHKdHhIcdHDHAc_hKDHOSe_hI_hHOSeSDHQ_hHIAcqSDH n=24 m=96 bip=18 ratio=18/576 0.031250000
WCrb`o[B_MO[O[gMIB`O[D@oIB_IBcD@r@O[wIBb_gMF@O[ n=24 m=96 bip=18 ratio=18/576 0.031250000
