[pIQOo_XABO@PO?ACOooi_oO`D?OoAH@|O?eALaGFi@CwGQ_gd_BAJAASwOIXB??	n=28	m=105	alpha=8
[MAGESYP?a_@_dG[A?iHDoH?_Igi?TO`?AGRHaIESIK?GaiIAg`E?qHGoggT@gCA	n=28	m=106	alpha=8
[CB?boG_NOD?wgJcADJo_@f?s_?LOc?Hg@BJSD?aC_H?y?G_OMEog?GA@w@hO@SY	n=28	m=104	alpha=8
[EgG_G?WRGSG`kO@?_IOL_KGWx?UQOpp@ECHG?HkCo_[[C?KOU?DH?aWW?IGqEOo	n=28	m=102	alpha=8
[gkK?@DAGTAAhPP`ES?_UScaCOpE_aUGG_OPOCK@aQG`CWE`RAK`AIpCW__c`AD`	n=28	m=106	alpha=8
[BWACG_OWHKHX?BgRc_w?_dcAYs_u?qOOB_QB?B_os?W??NGQ[@c@PG?S?J\C?ao	n=28	m=104	alpha=8
[ocoCICI?Be@QhOlMP?@@BaCIc@QAaBgO?B`CScC?d[QQ?SQpCG@AOUkG@_iGOL_	n=28	m=105	alpha=8
\sM@@@HSaOM?AC_RoTb??_U?@W?_DxHoCDOo@@dCOGJIO@MR_O_KGAK`_M_gmS_O@hf??	n=29	m=112	alpha=8
\HG_?gOEe\?C@gCAWIy?cE_Gb`SGg[wGa_DWpKAAF?BH?WOgpC@GFAB@WiA?OECst?@?[	n=29	m=113	alpha=8
\_PSrE?CZ`GSH@CPCs??@JGSW_RC?GAPGXCQjD?SOucPAYW?DAoOccOS_GcK?VHC?QcCg	n=29	m=112	alpha=8
\X_AwQCc@?IgCY?WD_K_AREQTGA?Dk?CP@wpUI?@I_acQGYG{?_AJC@HaW?CCYCO?@LSg	n=29	m=110	alpha=8
\UaAK???@CA_RQoNOQO?HDC@c_`dcC@CobC@IwE?OA|BfACARB_EUD?CY_GAH@?VQIEGG	n=29	m=111	alpha=8
\?ABIq_AGdV?o?Age_MO@OFHg?BGa???{BS`HUcCApGQO@qVG?Q@X_P@@OS?hCx?cc@?W	n=29	m=109	alpha=8
\IOp?CLCD@ggiDEbQS?aSOAgp?GaOEK?iGSSP?h`@AVWU?o?@K@@_AgPI?B[[_SCGKOSo	n=29	m=112	alpha=8
\?@mvaSAF?_\`Cc@@G?QQG_KOGao??oKROO_OKRB@bADCGcGgcG?agdO_`pP?Kl?@SPOo	n=29	m=110	alpha=8
]?oQ`\@E@OOr?m?aGALHa?H?P@K`A@D@H_OEPA?oWABG?qocQIB_iHAO_XKD_DOo?S?DWkAi?G	n=30	m=115	alpha=8
]WSq@EHPCC_C?SSRE@PcgGB?gI?A`CcKCMBIs?Bc[K?OIcCBACPAOEO?UKAWHA{Gp@H?OO_IIG	n=30	m=116	alpha=8
]??LKI?U_Hg[`?CBccLgGS_G@Q`p?@O[RgGCt?@OAatMKO?IWQCOAc_aGCKK?W[@A_GFTI`S?_	n=30	m=118	alpha=8
]P`S?X@@@PCICqWsYJ?KOcOCIoH?DhGCIC@AU`??KOSH?o@EHSQObAWDEQC?@@bg_K?tAODCGo	n=30	m=116	alpha=8
]ACOS?oW?_?_aF@?QAnKOKpRgD?FPG_EcH\?`?AgKoIHC_IOwoCoGAICwS?gRG_oJAGOqaH?CO	n=30	m=117	alpha=8
]@_[GPPQAABOH@XOLO?Ac?@U_kOI@GHPaOZ_S?CeaCOBPI?A?@]GmACOCTA_DsSCw@?p?bO?A_	n=30	m=113	alpha=8
]?K@bBOBwU???J?ICcegOAODGA`?i`gEATAAh?_?D?]aGKAOEI[p_q?W@@Wd_iW??pTCJKC?K?	n=30	m=115	alpha=8
]@POOGE_F@?aAR`??bE`CiHAWcCKCA??Sb@tIGORB_CCQWgsPGDA@[QDIIO?eYA?CuACOAAkW_	n=30	m=117	alpha=8
