_?~vfbo{F_]?B~B~@~_^w{?~oBv_Ff_F_N{NB~Bo^w]@~`wB~BoB~Bo@~`w?^w]?{?{N~oBo~v_F`~f_F`~_ n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_?GSA?OGA?O??Q?`?c?O_EvGfkQ\kCZqApHq[`kVHEoZA[_[`kOkQ[_ZA[_FHEo?HzC@GZ[_GSZq?cA\k@A? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_?GSA?fEsYHo[akPZCFG_@CwGbOAL_CR`?xA_L_O`WoCBc_R_OfbO_ZBWBE`M@HoxC@qJW_JCTaGZCBcO[a? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_`djCe_SL?I@Ah@U`R?JH_`P@IHO__h@CgOXDGHkCIKGHPHDGI_ICDOgHPOCCII@OQ_IeAD?Tgh@@R@O__kc n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_lh\IudUlIjTUihTjTLIlUiUdUitQlIlUdUiUiT\IlSjTIlhTidUiTYsitQitQjTUiTYidUiTYtQjTLIlSis n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_rY[rLee[rKrXeeXrKrKrXeYXe[rKrKrLeXeeXe[rKrKrKrXeXeeXeXrKrKrKrKrXeXeYXeXe[rKrKrKrKrK n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_]r@xw{NEFw]o{o{F`xw]o{NBopw]Xw]W{NKNBrEF`fw]E]o{K{o{K{F`x`xw]W]NBrBo{NKNEF`f`}F`f`w n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_????B\zbmVWvOz_MwDu?P@EGG_aa@DC@CCOaAG?aa?CSO?CSR\GgbmG_azcOPVWCSR\?aaMwAGGmwCOPVW? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_]r@xzBopxfeNKNKWX}E]orrBN@x`xx`w{o{NKNEE]FwXw]NKNBNKNBWXw]]E]Feoro{rBNBr@x`wXxx`wXw n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_????B~~v}^w~o~o^wF}??N{?~o@~_@~_?~o?N{?@~_?F}?~oB~~oB~^w@~f}?^w~oB~B~?N{F}?^wF}?^w? n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_?CaC?G@?C?G_@OACA?`?RQmMDonF@UebSk`yFCbbsGUUh?IssGDwwCPom@AYT_GklQ?DpyC?fOwcAEhXAC? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_????AZXr[RgmO\_[oEq??`c@H_Ob?HC__cOCEGC?q?GCo?EOIZH_DfGoOvCQARgcQAx@aCFWBH?[oCo_ZG? n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_?zTb`okE_[?@}A|@l_[w_WDAO`GQ?oK?WEMHARQC`UOKAw_WDoOcIoC`Hg?oK[?E@_FwcH?nQC`@lcB?`r_ n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_KKuMORGqWpcKRKbWeMPcSDA_gA_gL@OOD@RA_goIAw`OTcSD?RgI?bIA_eL@OPc@OSpKIAbGoIAweGSDXEO n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_lh\ItYhYsslhYUdslIslUdidhYslLJQudhYUdh\JQsjQslUdhYhYUdjQslLJQslhYUdhYUdh\JQslIslJQs n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_?lvE_`CcGH?CjGVHFCHg@pGJGOYc?\A@oGZk@Hu`A[[APgC_[`GOkQH?ZACGFH?GV?QkQkADsHgHFAPoOe_ n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
