8 5 4 1;11 8 7 2;15 13 11 7;11;41;102;22;11;7
8 6 4 0;12 8 6 2;15 13 11 7;15;65;175;24;24;11
8 7 3 0;12 8 5 3;15 13 11 7;14;56;144;25;17;10
8 7 3 0;12 9 6 1;15 13 11 7;11;42;106;21;12;7
10 5 3 0;11 9 7 1;15 13 11 7;16;70;189;25;26;12
11 4 2 1;12 11 5 0;15 13 11 7;7;22;50;17;4;3
11 5 2 0;12 8 6 2;15 13 11 7;12;47;120;22;14;8
8 6 5 0;12 8 4 3;15 13 11 7;6;18;40;15;3;2
8 7 3 1;12 7 6 2;15 13 11 7;8;27;64;18;6;4
10 4 3 2;11 10 5 1;15 13 11 7;6;18;40;15;3;2
10 8 1 0;14 9 4 0;15 13 11 7;7;22;50;17;4;3
11 5 2 1;13 8 5 1;15 13 11 7;7;22;50;17;4;3
11 5 3 0;10 8 7 2;15 13 11 7;9;31;74;20;7;5
11 7 1 0;12 7 6 2;15 13 11 7;7;22;50;17;4;3
8 6 4 2;10 8 5 3;15 13 11 7;11;43;110;20;13;7
9 7 4 0;14 6 4 2;15 13 11 7;7;22;50;17;4;3
9 8 3 0;10 9 4 3;15 13 11 7;7;23;54;16;5;3
10 8 2 0;14 6 5 1;15 13 11 7;4;10;20;11;1;0
11 6 3 0;11 9 6 0;15 13 11 7;19;85;231;28;32;15
11 6 3 0;13 8 5 0;15 13 11 7;17;71;186;28;23;13
12 4 3 1;12 8 6 0;15 13 11 7;8;26;60;19;5;4
8 7 4 2;11 8 6 0;15 13 11 7;7;22;50;17;4;3
9 5 4 3;10 8 4 3;15 13 11 7;6;18;40;15;3;2
9 7 4 1;11 8 6 0;15 13 11 7;12;47;120;22;14;8
9 8 4 0;11 8 5 1;15 13 11 7;13;51;130;24;15;9
10 6 3 2;11 10 3 1;15 13 11 7;7;22;50;17;4;3
10 8 2 1;13 6 5 1;15 13 11 7;4;10;20;11;1;0
10 8 3 0;13 8 4 0;15 13 11 7;14;57;148;24;18;10
11 8 2 0;11 10 4 0;15 13 11 7;14;56;144;25;17;10
11 9 1 0;12 10 2 1;15 13 11 7;8;27;64;18;6;4
12 6 2 1;11 7 5 2;15 13 11 7;6;18;40;15;3;2
13 4 3 1;11 8 6 0;15 13 11 7;7;22;50;17;4;3
14 6 1 0;11 10 4 0;15 13 11 7;5;14;30;13;2;1
9 7 5 1;8 7 5 4;15 13 11 7;7;24;58;15;6;3
10 7 5 0;13 9 2 0;15 13 11 7;4;10;20;11;1;0
10 8 4 0;12 7 4 1;15 13 11 7;19;85;231;28;32;15
10 9 2 1;11 8 5 0;15 13 11 7;6;18;40;15;3;2
13 7 2 0;12 8 4 0;15 13 11 7;14;57;148;24;18;10
14 5 2 1;12 7 5 0;15 13 11 7;4;10;20;11;1;0
9 7 5 2;10 8 4 1;15 13 11 7;13;51;130;24;15;9
9 7 5 2;10 9 3 1;15 13 11 7;5;14;30;13;2;1
11 7 5 0;13 9 1 0;15 13 11 7;4;10;20;11;1;0
4 2 1 0;14 11 8 7;15 13 11 8;4;10;20;11;1;0
6 3 1 0;13 11 10 3;15 13 11 8;5;14;30;13;2;1
7 2 1 0;13 11 10 3;15 13 11 8;6;18;40;15;3;2
7 4 1 0;12 9 8 6;15 13 11 8;8;27;64;18;6;4
8 3 1 0;13 11 10 1;15 13 11 8;5;14;30;13;2;1
6 4 2 1;12 10 8 4;15 13 11 8;9;33;82;18;9;5
7 4 3 0;14 8 7 4;15 13 11 8;5;14;30;13;2;1
7 6 1 0;13 11 7 2;15 13 11 8;6;18;40;15;3;2
7 6 1 0;14 9 6 4;15 13 11 8;6;18;40;15;3;2
7 5 2 1;13 9 8 2;15 13 11 8;4;10;20;11;1;0
7 5 3 0;12 11 7 2;15 13 11 8;5;14;30;13;2;1
8 4 2 1;11 8 7 6;15 13 11 8;4;10;20;11;1;0
7 5 4 0;12 9 7 3;15 13 11 8;10;37;92;20;10;6
9 4 3 0;10 9 8 4;15 13 11 8;6;18;40;15;3;2
7 5 4 1;11 10 6 3;15 13 11 8;7;22;50;17;4;3
8 5 4 0;10 9 7 4;15 13 11 8;9;32;78;19;8;5
8 6 3 0;14 7 5 4;15 13 11 8;6;18;40;15;3;2
9 6 2 0;11 10 5 4;15 13 11 8;9;32;78;19;8;5
10 5 2 0;12 10 8 0;15 13 11 8;11;43;110;20;13;7
10 5 2 0;13 12 4 1;15 13 11 8;4;10;20;11;1;0
10 5 2 0;14 11 4 1;15 13 11 8;4;10;20;11;1;0
14 2 1 0;12 10 8 0;15 13 11 8;4;10;20;11;1;0
8 5 3 2;10 8 7 4;15 13 11 8;8;27;64;18;6;4
8 6 4 0;13 8 5 3;15 13 11 8;12;47;120;22;14;8
9 5 3 1;12 8 5 4;15 13 11 8;9;31;74;20;7;5
9 7 2 0;11 9 6 3;15 13 11 8;13;51;130;24;15;9
10 5 2 1;11 10 6 2;15 13 11 8;11;41;102;22;11;7
8 7 3 1;13 8 6 1;15 13 11 8;4;10;20;11;1;0
9 5 4 1;11 9 5 3;15 13 11 8;11;42;106;21;12;7
10 4 3 2;11 10 6 1;15 13 11 8;6;18;40;15;3;2
10 5 3 1;13 8 5 2;15 13 11 8;7;22;50;17;4;3
10 6 2 1;12 10 4 2;15 13 11 8;10;37;92;20;10;6
11 4 3 1;11 10 6 1;15 13 11 8;9;32;78;19;8;5
11 4 3 1;12 9 7 0;15 13 11 8;11;41;102;22;11;7
11 5 2 1;11 10 7 0;15 13 11 8;11;41;102;22;11;7
13 4 2 0;12 10 5 1;15 13 11 8;5;14;30;13;2;1
8 6 4 2;11 8 7 1;15 13 11 8;6;18;40;15;3;2
8 7 5 0;14 6 4 3;15 13 11 8;4;10;20;11;1;0
10 6 4 0;11 9 7 0;15 13 11 8;10;35;84;22;8;6
10 7 2 1;12 10 4 1;15 13 11 8;12;46;116;23;13;8
8 7 4 2;11 9 4 2;15 13 11 8;7;22;50;17;4;3
9 8 4 0;13 7 6 0;15 13 11 8;4;10;20;11;1;0
10 6 4 1;12 7 5 2;15 13 11 8;13;51;130;24;15;9
10 8 3 0;13 7 4 2;15 13 11 8;11;43;110;20;13;7
12 6 2 1;13 10 3 0;15 13 11 8;5;14;30;13;2;1
8 7 4 3;9 7 6 3;15 13 11 8;7;23;54;16;5;3
9 6 5 2;10 9 5 1;15 13 11 8;7;22;50;17;4;3
9 8 4 1;10 8 5 2;15 13 11 8;12;47;120;22;14;8
9 8 4 1;12 7 6 0;15 13 11 8;4;10;20;11;1;0
12 5 4 1;11 10 4 0;15 13 11 8;5;14;30;13;2;1
12 7 2 1;12 7 6 0;15 13 11 8;7;22;50;17;4;3
9 8 4 2;8 7 6 3;15 13 11 8;5;14;30;13;2;1
10 6 5 2;11 7 5 1;15 13 11 8;11;41;102;22;11;7
11 6 5 1;11 9 4 0;15 13 11 8;7;22;50;17;4;3
11 9 2 1;12 10 2 0;15 13 11 8;10;37;92;20;10;6
12 6 5 0;11 6 5 2;15 13 11 8;5;14;30;13;2;1
12 9 2 0;12 10 2 0;15 13 11 8;15;65;175;24;24;11
