C20(1,4) n=20 e=40 beta=8 Rbest=24 C5=24 tr5mod10=0 propA=OK
C20(1,5) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,6) n=20 e=40 beta=8 Rbest=40 C5=40 tr5mod10=0 propA=OK
C20(1,7) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,8) n=20 e=40 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(1,9) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(2,3) n=20 e=40 beta=8 Rbest=40 C5=40 tr5mod10=0 propA=OK
C20(2,5) n=20 e=40 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(2,6) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(2,7) n=20 e=40 beta=8 Rbest=40 C5=40 tr5mod10=0 propA=OK
C20(2,8) n=20 e=40 beta=8 Rbest=64 C5=64 tr5mod10=0 propA=OK
C20(3,4) n=20 e=40 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(3,5) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(3,7) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(3,8) n=20 e=40 beta=8 Rbest=24 C5=24 tr5mod10=0 propA=OK
C20(3,9) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(4,5) n=20 e=40 beta=4 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(4,6) n=20 e=40 beta=8 Rbest=64 C5=64 tr5mod10=0 propA=OK
C20(4,7) n=20 e=40 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(4,9) n=20 e=40 beta=8 Rbest=24 C5=24 tr5mod10=0 propA=OK
C20(5,6) n=20 e=40 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(5,7) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(5,8) n=20 e=40 beta=4 Rbest=4 C5=4 tr5mod10=0 propA=OK
