d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
9			15	1338	56927	2	1,8,6,0,0,0,0,0,0,0	51,42,33,20,8,2	6,4,3,3,2,1	55,46,37,23,10,4	runs\wave4_asymmetric-weight-ratio-corner\pAN_3.jsonl
9			84	220	1537	1	1,12,44,27,0,0,0,0,0,0	40,30,25,19,14,1	5,4,4,3,2,1	44,33,28,23,16,4	runs\wave4_asymmetric-weight-ratio-corner\pAN_4.jsonl
6			44	10	51	1	1,10,25,8,0,0,0	40,28,19,14,8,1	5,5,2,1,1,1	42,31,22,16,10,4	runs\wave4_asymmetric-weight-ratio-corner\pN_d6.jsonl
6			138	156	413	1	1,23,78,36,0,0,0	49,43,31,23,9,3	7,6,3,2,1,1	53,48,32,27,11,7	runs\wave4_asymmetric-weight-ratio-corner\pN_d6.jsonl
6			469	214	359	1	1,37,198,201,32,0,0	52,45,31,22,15,5	6,6,5,1,1,1	56,49,34,25,18,8	runs\wave4_asymmetric-weight-ratio-corner\pN_d6.jsonl
7			41	90	623	1	1,13,27,0,0,0,0,0	39,33,27,19,9,4	6,4,2,2,2,1	42,35,30,22,13,6	runs\wave4_asymmetric-weight-ratio-corner\pN_d7.jsonl
7			146	653	2273	1	1,16,62,56,11,0,0,0	36,30,24,16,8,1	7,3,2,1,1,1	38,32,26,19,10,5	runs\wave4_asymmetric-weight-ratio-corner\pN_d7.jsonl
7			515	2101	4049	1	1,34,193,228,57,2,0,0	61,44,33,25,17,7	8,5,3,1,1,1	67,48,35,27,19,10	runs\wave4_asymmetric-weight-ratio-corner\pN_d7.jsonl
8			22	1827	26200	2	1,7,14,0,0,0,0,0,0	47,39,34,26,18,8	5,4,4,3,1,1	50,43,38,28,21,10	runs\wave4_asymmetric-weight-ratio-corner\pN_d8.jsonl
8			88	63	377	1	1,9,36,33,9,0,0,0,0	37,29,23,18,12,6	5,5,4,2,1,1	41,33,25,22,14,8	runs\wave4_asymmetric-weight-ratio-corner\pN_d8.jsonl
8			106	351	1819	1	1,11,45,40,9,0,0,0,0	44,30,22,15,8,2	5,5,4,3,1,1	48,32,26,18,10,6	runs\wave4_asymmetric-weight-ratio-corner\pN_d8.jsonl
8			106	777	3833	1	1,13,51,37,4,0,0,0,0	69,54,39,33,19,4	5,4,4,2,2,1	72,57,42,36,21,8	runs\wave4_asymmetric-weight-ratio-corner\pN_d8.jsonl
8			212	1275	4411	1	1,16,80,89,25,1,0,0,0	41,32,24,17,12,5	5,5,4,2,1,1	44,36,27,19,16,7	runs\wave4_asymmetric-weight-ratio-corner\pN_d8.jsonl
9			402	485	1557	1	1,18,113,182,82,6,0,0,0,0	47,41,34,28,13,1	9,4,3,2,1,1	55,44,36,31,15,3	runs\wave4_asymmetric-weight-ratio-corner\pN_d9b.jsonl
4	5	29	75	43	104	1	1,24,43,7,0	12,7,2,2	24,15,13,4,4	30,20,16,9,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
6	5	174	4494	3599	4057	1	1,167,1494,2202,611,19,0	18,15,7,6,5	33,14,9,1	42,23,20,14,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
4	5	47	173	103	178	1	1,42,103,27,0	32,10,9,1,1	15,13,5,2,2	38,21,15,11,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	33	98	171	487	1	1,27,57,13,0,0	17,15,12,5,2	13,8,2,1	19,18,18,12,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
3	5	21	30	4	15	1	1,17,12,0	24,12,8,2,2	20,7,7,4	28,23,14,14,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	14	22	11	79	1	1,8,11,2,0,0	13,6,5,1	11,11,6,2	23,12,9,6,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	39	140	243	583	1	1,33,81,25,0,0	28,15,15,1	14,8,5,1	33,24,16,11,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
4	6	30	68	37	105	1	1,25,37,5,0	29,8,3,2,1,1	14,9,9,1,1,1	34,16,12,10,5,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	198	3322	1639	1807	1	1,192,1429,1490,210,0	15,11,7,2,1	19,10,7,4	29,15,15,10,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	38	211	116	215	1	1,32,112,62,4,0	31,6,6,1	30,15,4,1	58,20,9,4,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	120	1243	1971	2447	1	1,114,612,471,45,0	18,14,12,4	30,8,4,4	38,21,16,10,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
4	5	21	36	19	73	1	1,16,19,0,0	22,18,7,5	9,9,2,2,1	27,24,11,9,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	32	100	171	481	1	1,26,57,16,0,0	15,14,11,1	15,8,4,4	26,18,16,10,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
6	5	103	844	922	1393	1	1,96,461,286,0,0,0	19,10,5,4	15,11,10,7,2	26,20,16,15,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
4	5	30	78	11	27	1	1,25,44,8,0	25,10,2,2	12,12,7,6,1	30,19,12,9,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	26	73	41	133	1	1,20,41,11,0,0	18,9,7,4,1	12,8,3,2	20,20,11,9,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	5	24	65	108	373	1	1,18,36,10,0,0	28,18,8,2,1	36,17,2,1	62,27,16,4,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	6	39	130	76	191	1	1,33,76,20,0,0	33,12,6,3,3,3	20,17,5,3,1,1	41,28,17,12,5,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
4	6	16	22	5	29	1	1,11,10,0,0	20,12,12,7,2	12,5,2,1,1,1	27,17,15,8,5,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
5	7	20	44	8	35	1	1,14,24,5,0,0	9,5,3,3,3,2,1	14,10,2,2,2,2,1	17,15,8,5,5,5,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof0.jsonl
6	5	94	1708	1451	1826	1	1,87,637,803,177,3,0	20,8,4,2	12,11,5,3	24,17,10,8,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	47	239	135	251	1	1,41,132,62,3,0	17,12,4,1	18,16,15,1	26,20,20,11,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	32	133	225	511	1	1,26,74,31,1,0	18,13,9,9,7	13,10,9,6,5	25,23,19,17,15	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	6	57	659	201	310	1	1,50,278,283,47,0,0	15,10,7,5,2	14,5,5,1,1,1	26,14,10,9,4,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
3	5	30	64	34	69	1	1,26,34,3	21,18,7,3,3	16,10,7,3	27,27,18,8,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
4	6	21	31	14	73	1	1,16,14,0,0	14,14,2,2,1,1	15,11,10,10,6	24,19,14,11,11,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	5	116	1264	217	290	1	1,109,651,503,0,0,0	19,15,11,3	25,9,8,6,2	30,23,18,16,11	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	5	65	780	713	1062	1	1,58,326,333,61,1,0	21,17,12,3,1	21,8,3,1	27,26,16,15,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	93	791	99	133	1	1,87,408,274,21,0	19,14,7,6,1	22,15,6,6,4	33,25,18,16,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	37	126	74	183	1	1,31,74,20,0,0	18,15,2,2	25,13,4,2	29,25,14,8,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	5	68	1038	299	411	1	1,61,394,470,109,3,0	13,9,6,3,1	15,13,5,2	20,17,11,10,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
4	6	19	26	11	67	1	1,14,11,0,0	14,10,7,3,3,2	17,15,10,10,4,4	23,19,19,19,11,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	6	38	198	109	257	1	1,31,109,57,0,0,0	7,7,4,3,1	17,12,12,6,4,4	21,16,13,11,8,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	100	996	1578	2015	1	1,94,489,375,37,0	19,18,13,5	20,15,6,6,1	33,22,20,15,13	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	6	34	137	231	535	1	1,28,76,31,1,0	33,11,4,2,1	33,14,4,2,1,1	63,17,13,6,6,1	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	6	56	872	739	1043	1	1,49,320,400,99,3,0	19,9,7,4,2	13,12,5,4,3,1	20,17,15,11,9,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	138	1577	824	987	1	1,132,761,620,63,0	32,13,5,2	35,11,11,2	62,20,13,9,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	32	102	177	481	1	1,26,59,16,0,0	15,11,8,5	15,6,4,1	20,18,15,6,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
5	5	84	622	1041	1465	1	1,78,338,196,9,0	18,13,10,2	26,16,11,5,1	42,20,15,15,10	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
4	5	28	50	13	47	1	1,23,26,0,0	14,9,3,2,2	14,11,9,5,1	24,15,12,12,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
3	6	17	23	9	37	1	1,13,9,0	14,11,3,3,1,1	11,11,7,4,2,2	20,18,14,10,5,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof1.jsonl
6	6	17	24	2	19	1	1,10,13,0,0,0,0	14,13,8,6,5,4	9,6,4,2,2	21,17,10,10,10,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
3	5	34	68	7	15	1	1,30,35,2	27,10,4,2,2	26,19,8,7	48,25,18,9,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
5	5	29	79	135	433	1	1,23,45,10,0,0	15,7,6,6	20,16,5,4,1	26,24,15,8,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
5	5	35	135	234	539	1	1,29,78,27,0,0	18,15,12,8	12,6,4,3	26,20,13,13,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
6	5	22	16	0	1	1	1,15,0,0,0,0,0	27,19,6,4	20,17,13,4	43,36,14,13,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
6	5	106	1932	817	1024	1	1,99,707,899,220,6,0	33,8,6,2	14,5,4,3	40,14,9,7,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
6	6	93	1480	1292	1685	1	1,86,574,672,144,3,0	13,8,8,3,1	23,12,6,1,1	29,14,12,10,9,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
6	6	42	200	228	547	1	1,35,114,50,0,0,0	22,17,9,5,1	9,6,3,2,1,1	28,22,14,6,4,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
4	5	18	22	1	8	1	1,13,8,0,0	21,17,9,8,4	13,11,7,1,1	23,21,21,15,12	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
3	5	35	72	38	77	1	1,31,38,2	18,15,8,1,1	17,13,6,3,3	24,24,17,12,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof2.jsonl
5	5	41	204	18	35	1	1,35,111,54,3,0	15,11,7,1	16,16,5,4	29,19,12,11,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
4	5	43	135	16	31	1	1,38,80,16,0	19,15,7,7,4	20,9,3,3	29,20,19,10,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	5	135	2754	2291	2749	1	1,128,978,1302,335,10,0	26,18,9,2,1	29,11,6,3,2	34,32,20,16,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	7	15	23	36	247	1	1,9,12,1,0,0	15,15,14,11,2,1	14,13,3,3,2,2	26,18,16,13,12,8,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	6	46	436	59	102	1	1,39,194,177,25,0,0	10,10,7,4,2	9,9,6,5,1,1	18,13,11,11,6,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
4	5	13	9	0	1	1	1,8,0,0,0	10,6,2,2	11,8,3,3	18,12,9,5,1	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	34	106	183	505	1	1,28,61,16,0,0	10,7,2,2	17,12,11,9	24,19,13,11,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
4	6	45	152	45	83	1	1,40,90,21,0	17,12,10,10,8,1	19,15,9,7,1	30,23,23,17,8,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	36	125	216	541	1	1,30,72,22,0,0	26,15,14,1	14,9,9,4	37,24,16,9,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	28	75	126	421	1	1,22,42,10,0,0	20,20,11,5	21,10,6,4	29,28,15,14,11	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	136	1747	298	349	1	1,130,812,722,82,0	13,13,5,2	17,13,11,6,1	23,22,17,13,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	7	13	7	0	1	1	1,6,0,0,0,0,0	22,10,8,8,6,4	18,10,5,2,2,2,1	31,20,20,10,8,6,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	6	170	4430	3527	3992	1	1,163,1458,2179,611,18,0	19,10,10,9,7	18,11,11,9,2	26,24,21,19,10,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	5	75	944	863	1235	1	1,68,395,406,73,1,0	17,15,8,4	19,17,9,6,5	27,26,24,15,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	76	563	933	1339	1	1,70,301,181,10,0	14,8,7,3	14,10,6,3,1	21,14,11,11,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	32	60	99	449	1	1,26,33,0,0,0	24,15,4,1	29,16,11,1	45,17,16,16,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	5	129	3132	1256	1461	1	1,122,1044,1527,424,14,0	14,9,5,4	10,9,5,1	21,14,11,8,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	39	139	243	581	1	1,33,81,24,0,0	22,19,4,2,2	16,13,9,6	36,25,15,9,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
3	5	40	81	14	29	1	1,36,42,2	20,14,11,3,3	22,14,10,3,1	36,24,20,17,4	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	46	229	390	733	1	1,40,128,58,2,0	27,8,6,6,1	16,7,4,2	30,19,13,8,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	41	221	123	227	1	1,35,120,62,3,0	18,12,11,2	14,6,4,4	28,18,13,7,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
4	6	26	40	9	44	1	1,21,18,0,0	19,8,5,1,1	21,15,3,2,2,2	32,22,10,9,4,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
5	5	58	499	786	1129	1	1,52,243,184,19,0	21,12,7,5	13,11,6,4	30,14,14,11,10	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
6	5	71	938	283	400	1	1,64,388,411,73,1,0	21,10,8,5,3	24,15,9,3,2	30,28,23,10,9	runs\wave4_heavy-unbiased-statistic-control-w4\prof3.jsonl
3	6	18	24	3	13	1	1,14,9,0	17,12,6,4,4	21,8,4,3,3	33,20,12,10,5,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
6	6	20	40	44	281	1	1,13,22,4,0,0,0	19,7,5,5,3,2	14,8,8,5,3,2	26,13,13,11,11,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
5	5	48	260	441	781	1	1,42,144,70,3,0	22,7,6,3	14,12,5,5	27,19,16,9,3	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
4	5	21	32	15	73	1	1,16,15,0,0	23,11,4,2	28,16,5,4,4	47,19,15,8,8	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
4	5	107	624	190	239	1	1,102,371,147,3	19,12,10,4	21,15,15,7	29,29,19,14,12	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
6	5	58	324	364	747	1	1,51,182,90,0,0,0	42,10,3,1	16,8,6,5	47,16,13,10,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
6	6	118	2826	1129	1330	1	1,111,935,1379,388,12,0	12,9,7,2,1	17,9,8,5,1,1	20,17,15,12,7,1	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
5	5	15	17	3	35	1	1,9,7,0,0,0	12,10,6,6	12,11,7,4	20,18,17,12,1	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
4	6	18	33	17	66	1	1,13,17,2,0	19,10,8,8,2	11,7,4,2,1,1	20,18,12,12,6,5	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
6	6	25	48	58	327	1	1,18,29,0,0,0,0	14,11,3,3,3,1	21,14,10,6,1,1	23,21,14,13,11,6	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
5	6	44	114	186	619	1	1,38,62,13,0,0	37,10,4,3,2	41,8,2,1,1	56,34,10,5,2,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
4	5	19	40	11	35	1	1,14,22,3,0	12,12,7,5	20,9,9,2	22,20,18,9,7	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
6	5	112	1856	1623	2051	1	1,105,724,848,175,3,0	30,12,6,2	20,11,7,4	36,23,16,15,2	runs\wave4_heavy-unbiased-statistic-control-w4\prof4.jsonl
4	5	25	43	22	85	1	1,20,22,0,0	28,7,7,1	16,7,5,4,1	38,16,12,5,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	62	561	882	1229	1	1,56,273,210,21,0	10,8,6,3,2	18,13,10,1,1	25,19,16,7,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	6	18	24	24	257	1	1,11,12,0,0,0,0	8,7,4,4,4,1	16,12,10,9,4,2	21,15,14,14,11,6	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	6	46	169	300	673	1	1,40,100,28,0,0	34,10,6,4,4,1	17,12,7,6,6,5	46,22,15,11,9,9	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	22	37	60	329	1	1,16,20,0,0,0	11,9,5,2	38,5,4,1	42,15,10,4,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	6	22	106	109	331	1	1,15,53,34,3,0,0	8,7,5,3,3,3	8,6,5,3,1	13,12,9,9,5,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	110	895	1479	1979	1	1,104,475,297,18,0	21,10,3,1	19,11,11,4,2	33,22,14,9,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
4	5	35	95	55	124	1	1,30,55,9,0	25,24,8,1,1	15,10,3,3	33,28,14,12,3	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	56	300	13	23	1	1,50,165,80,4,0	16,8,2,1	22,12,7,6	28,16,16,9,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
3	5	22	33	14	47	1	1,18,14,0	25,16,4,3,2	21,15,8,5	34,31,21,11,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	5	137	2628	1115	1346	1	1,130,972,1233,286,6,0	21,13,9,4	15,9,8,6	32,21,18,8,6	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	6	19	28	42	293	1	1,13,14,0,0,0	13,11,11,6,2	16,11,4,3,3,3	22,19,15,10,10,7	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
3	5	30	48	1	3	1	1,26,21,0	15,15,8,1,1	24,11,7,3	32,20,20,10,3	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
4	5	22	45	23	80	1	1,17,23,4,0	20,17,8,7,3	13,13,5,5,1	25,24,18,17,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	63	276	489	931	1	1,57,163,55,0,0	27,8,7,3	25,24,7,2,1	39,26,21,9,9	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	75	480	813	1243	1	1,69,265,139,6,0	24,20,10,4	41,9,6,2	48,31,19,9,9	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	6	33	129	219	517	1	1,27,72,28,1,0	14,9,8,7,3,2	16,8,6,1,1	25,14,11,11,10,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	6	16	19	6	79	1	1,9,9,0,0,0,0	11,8,6,2,2	19,19,14,6,1	22,20,20,9,9,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
4	6	43	89	50	139	1	1,38,50,0,0	24,9,8,3,1,1	21,15,11,1,1	35,22,14,14,9,1	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	5	59	664	203	316	1	1,52,278,279,53,1,0	17,8,6,3	18,9,6,3	33,16,10,9,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
6	6	119	2236	633	775	1	1,112,829,1048,241,5,0	25,16,10,3,1,1	26,13,4,4,2	36,26,26,7,7,3	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	61	394	73	115	1	1,55,212,119,7,0	25,14,13,6,2	17,7,7,5	30,28,17,13,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	6	75	587	957	1361	1	1,69,304,198,15,0	14,14,10,5,2,2	22,17,7,6,1	29,26,21,15,5,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof0.jsonl
5	5	67	596	945	1307	1	1,61,293,219,22,0	25,18,9,6	15,8,6,4,4	32,24,20,12,7	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	40	160	273	613	1	1,34,90,34,1,0	17,13,5,2,1	14,10,10,1	23,19,17,9,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	93	719	1191	1649	1	1,87,382,234,15,0	22,15,11,2,1	20,18,7,3,1	29,25,25,15,6	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	34	144	243	541	1	1,28,80,34,1,0	18,9,8,6	12,12,5,3	24,18,17,8,6	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	28	110	61	192	1	1,21,61,27,0,0,0	11,7,4,3,1	16,15,6,3	22,21,13,8,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
4	5	97	506	22	29	1	1,92,308,105,0	18,18,9,6	16,11,8,3,2	26,26,17,14,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
4	5	100	568	86	111	1	1,95,335,134,3	18,18,12,2	17,8,8,2	28,24,20,9,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	23	62	102	361	1	1,17,34,10,0,0	20,20,8,7	16,13,4,1	35,29,14,9,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	128	2828	2311	2738	1	1,121,976,1361,359,10,0	21,20,7,2	12,9,7,2	28,22,16,10,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	27	22	0	1	1	1,21,0,0,0,0	29,16,2,2	29,11,6,1	48,26,18,3,1	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	50	210	369	749	1	1,44,123,42,0,0	22,15,10,4	18,10,9,3,2	28,24,24,13,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	146	3558	2867	3298	1	1,139,1195,1731,477,15,0	21,15,8,3	12,8,4,3,2	27,22,12,10,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	6	37	162	178	489	1	1,30,89,42,0,0,0	21,15,9,2,1	14,5,4,2,1	27,20,10,8,7,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	70	405	46	75	1	1,64,225,110,5,0	24,15,7,4	27,9,5,1	33,24,13,13,9	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
4	5	65	243	49	80	1	1,60,147,35,0	28,18,4,4,1	19,12,12,4	42,23,17,12,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	7	19	27	28	267	1	1,12,14,0,0,0,0	22,16,4,3,3,2,1	13,11,6,6,3,3,3	27,22,14,9,9,9,6	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	61	344	196	327	1	1,55,192,92,4,0	24,13,6,4,3	20,19,14,3	27,27,24,19,9	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
4	6	16	29	1	4	1	1,11,15,2,0	13,11,9,4,1	8,7,3,1,1,1	16,13,13,9,7,1	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	28	110	17	55	1	1,21,59,28,1,0,0	23,10,5,2,1	17,15,6,1	25,24,16,8,7	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	6	44	241	266	587	1	1,37,133,70,0,0,0	17,11,11,2,2	11,11,9,2,2	23,21,13,11,6,4	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	127	1085	1797	2317	1	1,121,578,364,21,0	21,13,12,6,1	30,13,6,4,1	44,22,15,13,13	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	6	177	4689	3712	4197	1	1,170,1523,2308,666,21,0	22,12,10,9,1,1	19,14,14,5,3	33,21,21,19,8,8	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	6	23	39	63	341	1	1,17,21,0,0,0	22,10,7,7,3,1	12,7,2,2,2,1	27,16,11,11,6,5	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	60	662	607	956	1	1,53,277,277,53,1,0	21,13,7,5,2	25,9,2,1	29,22,17,10,7	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	5	123	2900	777	913	1	1,116,966,1404,399,14,0	16,13,7,5,3	10,8,4,3	23,18,13,8,7	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
6	7	16	46	47	249	1	1,9,23,12,1,0,0	21,6,5,4,3,2,1	7,7,6,1,1,1,1	25,11,10,7,6,5,2	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
5	5	729	19647	27645	28409	1	1,723,7323,9690,1892,18	30,11,11,8	31,13,9,4	49,23,19,15,11	runs\wave4_heavy-unbiased-statistic-control-w4\rprof1.jsonl
