d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
7	6	15	21	110	1517	1	1,7,11,2,0,0,0,0	8,7,4,3,1,1	6,5,3,1	13,11,6,5,2,2	purged_region\pop_profile.jsonl
3	5	26	53	28	59	1	1,22,28,2	15,12,9,4,1	12,9,3	23,20,14,4,4	purged_region\pop_profile.jsonl
5	5	40	176	303	625	1	1,34,100,40,1,0	16,13,9,5,2	20,9,6	34,21,14,7,4	purged_region\pop_profile.jsonl
3	5	10	10	3	23	1	1,6,3,0	21,16,9,4,1	7,4,1	26,19,11,4,3	purged_region\pop_profile.jsonl
5	5	17	25	39	269	1	1,11,13,0,0,0	13,10,7,4,1	10,7,4,1	21,16,8,6,6	purged_region\pop_profile.jsonl
5	5	14	23	12	79	1	1,8,12,2,0,0	15,12,3,2,1	7,4,3,2	18,17,5,5,4	purged_region\pop_profile.jsonl
6	6	14	21	22	219	1	1,7,11,2,0,0,0	8,4,2,2,1,1	19,3,2,1,1	25,6,5,3,3,2	purged_region\pop_profile.jsonl
6	5	72	832	255	383	1	1,65,350,350,65,1,0	13,10,7,4,1	17,12,9,1	27,22,14,6,5	purged_region\pop_profile.jsonl
6	5	28	72	80	367	1	1,21,40,10,0,0,0	16,13,10,4,1	13,9,4,1	27,22,13,5,4	purged_region\pop_profile.jsonl
6	5	77	666	102	155	1	1,70,357,238,0,0,0	15,12,9,4,1	13,10,7,4,1	27,20,14,9,6	purged_region\pop_profile.jsonl
6	5	61	500	262	435	1	1,54,262,183,0,0,0	17,11,6,3,1	15,8,4,2	31,16,10,6,4	purged_region\pop_profile.jsonl
6	5	33	140	154	443	1	1,26,77,36,0,0,0	17,12,9,6,2	16,12,4,1	32,21,11,8,7	purged_region\pop_profile.jsonl
6	5	140	2568	2229	2680	1	1,133,995,1197,239,3,0	16,11,8,5,2	13,10,7,4,1	26,20,16,9,6	purged_region\pop_profile.jsonl
4	5	10	6	0	1	1	1,5,0,0,0	10,7,4,2,1	22,10,1,1	30,16,5,5,2	purged_region\pop_profile.jsonl
6	5	36	176	32	81	1	1,29,95,49,2,0,0	18,15,12,7,1	13,10,7,2	27,26,20,9,3	purged_region\pop_profile.jsonl
5	5	14	15	18	233	1	1,8,6,0,0,0	11,11,6,4,1	12,6,2,1	22,14,9,5,4	purged_region\pop_profile.jsonl
6	5	125	2576	2129	2570	1	1,118,905,1223,319,10,0	25,14,11,5,2	14,11,7,1	35,25,17,7,6	purged_region\pop_profile.jsonl
5	6	8	3	0	1	1	1,2,0,0,0,0	6,5,2,2,1,1	13,10,9,1	17,15,11,4,2,1	purged_region\pop_profile.jsonl
5	5	13	17	24	223	1	1,7,8,1,0,0	9,6,2,1,1	6,4,3,2	12,10,6,4,2	purged_region\pop_profile.jsonl
8	6	12	4	0	1	1	1,3,0,0,0,0,0,0,0	8,5,4,4,2,1	11,10,6,4,1,1	18,12,11,7,5,4	purged_region\pop_profile.jsonl
7	6	28	194	865	2593	1	1,20,82,76,15,0,0,0	18,15,10,7,4,1	15,7,1	31,21,11,8,5,2	purged_region\pop_profile.jsonl
5	5	78	522	897	1301	1	1,72,299,150,0,0	13,10,7,4,1	20,11,4	29,19,13,5,4	purged_region\pop_profile.jsonl
3	5	16	20	1	5	1	1,12,7,0	16,13,8,4,1	10,7,4,1	23,20,13,4,4	purged_region\pop_profile.jsonl
6	5	42	230	129	281	1	1,35,129,65,0,0,0	15,12,9,6,3	17,14,4,1	31,24,12,9,5	purged_region\pop_profile.jsonl
4	6	8	5	1	34	1	1,3,1,0,0	19,3,3,2,1,1	20,9,1	37,12,4,3,2,1	purged_region\pop_profile.jsonl
6	5	128	2276	179	220	1	1,121,875,1057,219,3,0	18,14,11,7,4	15,9,6,3	29,24,16,10,8	purged_region\pop_profile.jsonl
4	6	9	5	0	1	1	1,4,0,0,0	7,7,6,5,3,1	15,11,5,3,3	21,18,9,9,6,3	purged_region\pop_profile.jsonl
6	5	220	7410	5637	6106	1	1,213,2235,3759,1167,35,0	19,14,8,5,2	13,10,7,4,1	30,21,15,10,7	purged_region\pop_profile.jsonl
5	5	20	56	93	325	1	1,14,31,10,0,0	8,7,5,2,1	20,13,6	26,19,10,4,3	purged_region\pop_profile.jsonl
5	5	22	39	66	329	1	1,16,22,0,0,0	13,10,7,4,1	10,7,4,1	22,13,10,6,6	purged_region\pop_profile.jsonl
3	6	18	26	11	39	1	1,14,11,0	18,15,12,8,5,1	15,11,4	31,24,17,8,5,4	purged_region\pop_profile.jsonl
