d	r	c	M	minR_num	minR_den	argk	hstar
6	None	38	264	260	553	1	1,31,124,96,12,0,0
6	None	59	558	536	889	1	1,52,253,222,30,0,0
6	None	104	1320	41	56	1	1,97,571,563,88,0,0
6	None	132	2052	168	211	1	1,125,846,924,156,0,0
5	None	35	120	207	527	1	1,29,69,21,0,0
6	None	122	2052	1805	2243	1	1,115,815,946,175,0,0
5	None	53	230	27	53	1	1,47,135,47,0,0
6	None	44	270	56	121	1	1,37,136,88,8,0,0
5	None	45	204	354	697	1	1,39,118,46,0,0
6	None	108	1080	109	157	1	1,101,525,413,40,0,0
5	None	125	1159	1881	2389	1	1,119,594,412,33,0
6	None	134	1860	286	371	1	1,127,793,809,130,0,0
5	None	62	400	17	27	1	1,56,213,122,8,0
5	None	26	54	99	377	1	1,20,33,0,0,0
5	None	65	440	243	373	1	1,59,235,137,8,0
5	None	167	2180	1116	1291	1	1,161,1011,902,105,0
5	None	67	471	774	1171	1	1,61,247,151,11,0
6	None	90	1146	1057	1469	1	1,83,486,490,85,1,0
6	None	23	61	11	53	1	1,16,33,11,0,0,0
5	None	217	3542	5274	5813	1	1,211,1542,1572,216,0
6	None	120	2850	2295	2689	1	1,113,961,1392,373,10,0
6	None	141	4356	3313	3723	1	1,134,1298,2176,717,30,0
6	None	78	1224	1061	1419	1	1,71,468,556,125,3,0
6	None	171	6408	2359	2571	1	1,164,1773,3241,1172,57,0
6	None	147	4408	3385	3798	1	1,140,1339,2191,707,30,0
5	None	80	709	1146	1529	1	1,74,363,252,19,0
5	None	87	837	1329	1733	1	1,81,416,312,27,0
6	None	128	3620	2801	3194	1	1,121,1117,1791,567,23,0
6	None	165	5988	1475	1617	1	1,158,1663,3010,1099,57,0
6	None	119	2614	2131	2543	1	1,112,896,1256,339,10,0
6	None	126	3320	2605	3008	1	1,119,1058,1635,489,18,0
6	None	49	296	160	329	1	1,42,158,91,4,0,0
5	None	75	755	1179	1549	1	1,69,362,292,31,0
5	None	65	530	19	27	1	1,59,270,185,15,0
6	None	97	1700	487	615	1	1,90,647,792,167,3,0
5	None	99	1067	557	695	1	1,93,514,416,43,0
6	None	275	15080	10480	10943	1	1,268,3565,7676,3350,220,0
6	None	176	7522	2698	2909	1	1,169,1931,3793,1534,94,0
6	None	176	6176	4613	5046	1	1,169,1767,3111,1079,49,0
6	None	259	13578	2373	2489	1	1,252,3266,6909,2960,190,0
6	None	180	6908	5071	5498	1	1,173,1894,3493,1283,64,0
6	None	140	4060	3121	3543	1	1,133,1231,2006,659,30,0
5	None	60	461	747	1099	1	1,54,237,157,12,0
5	None	90	1015	523	653	1	1,84,478,407,45,0
6	None	158	4880	1865	2079	1	1,151,1470,2435,790,33,0
6	None	85	1438	1237	1597	1	1,78,545,664,147,3,0
5	None	75	789	408	529	1	1,69,373,311,35,0
5	None	89	997	1539	1933	1	1,83,468,400,45,0
5	None	50	366	591	913	1	1,44,187,124,10,0
5	None	27	54	96	389	1	1,21,32,0,0,0
5	None	90	1051	538	667	1	1,84,487,428,51,0
6	None	235	11340	8029	8480	1	1,228,2827,5765,2375,144,0
6	None	231	11228	721	762	1	1,224,2774,5697,2383,149,0
5	None	91	856	1371	1783	1	1,85,431,313,26,0
6	None	66	1022	219	302	1	1,59,382,465,112,3,0
5	None	66	603	106	145	1	1,60,297,224,21,0
5	None	51	332	182	295	1	1,45,176,104,6,0
6	None	158	4946	1886	2099	1	1,151,1487,2477,798,32,0
5	None	100	1186	1824	2231	1	1,94,553,483,55,0
6	None	167	6320	4639	5055	1	1,160,1725,3182,1189,63,0
5	None	22	35	54	329	1	1,16,18,0,0,0
5	None	29	64	120	413	1	1,23,40,0,0,0
5	None	80	817	1278	1657	1	1,74,393,316,33,0
6	None	194	8166	5893	6330	1	1,187,2132,4121,1629,96,0
5	None	59	469	108	157	1	1,53,239,163,13,0
6	None	251	12162	8618	9079	1	1,244,3041,6188,2536,152,0
6	None	210	9024	6509	6952	1	1,203,2366,4579,1777,98,0
5	None	100	1248	1902	2303	1	1,94,570,519,64,0
6	None	118	2760	2214	2621	1	1,111,916,1336,382,14,0
5	None	107	1222	1902	2321	1	1,101,586,486,48,0
5	None	89	1013	1563	1949	1	1,83,474,408,47,0
6	None	258	12868	193	203	1	1,251,3171,6548,2729,168,0
5	None	117	1462	2247	2671	1	1,111,680,601,69,0
6	None	145	4052	3167	3578	1	1,138,1287,2015,593,18,0
6	None	116	2580	2101	2501	1	1,109,886,1246,329,9,0
5	None	126	1180	1917	2417	1	1,120,610,420,29,0
5	None	259	4064	6126	6709	1	1,253,1819,1768,223,0
6	None	198	4440	3700	4221	1	1,191,1616,2164,468,0,0
6	None	178	4031	3343	3828	1	1,171,1455,1971,433,0,0
5	None	170	2020	211	247	1	1,164,974,800,81,0
6	None	102	1152	556	783	1	1,95,525,469,62,0,0
6	None	168	3390	2873	3377	1	1,161,1260,1610,353,5,0
6	None	289	10031	3806	4079	1	1,282,2991,5063,1630,64,0
6	None	195	5844	4519	5004	1	1,188,1808,2911,903,33,0
6	None	358	18643	13108	13649	1	1,351,4562,9498,3984,247,0
5	None	38	130	45	113	1	1,32,75,22,0,0
5	None	82	678	1101	1517	1	1,76,349,234,18,0
6	None	80	982	910	1297	1	1,73,422,420,66,0,0
5	None	37	145	249	569	1	1,31,83,30,0,0
6	None	102	1584	1404	1817	1	1,95,636,720,132,0,0
6	None	81	720	733	1153	1	1,74,354,266,25,0,0
5	None	113	900	1482	2017	1	1,107,475,298,19,0
5	None	132	1212	1977	2501	1	1,126,629,426,30,0
6	None	106	1075	542	775	1	1,99,522,413,40,0,0
6	None	131	1849	425	549	1	1,124,785,809,130,0,0
6	None	132	2058	616	775	1	1,125,844,928,160,0,0
5	None	74	530	879	1289	1	1,68,282,168,11,0
5	None	57	384	210	331	1	1,51,202,122,8,0
5	None	138	1591	2484	2981	1	1,132,763,630,65,0
5	None	51	231	135	259	1	1,45,134,50,1,0
5	None	148	1834	2832	3335	1	1,142,859,747,85,0
6	None	93	1258	573	779	1	1,86,526,551,94,0,0
5	None	182	2624	3975	4493	1	1,176,1186,1122,139,0
5	None	74	565	308	443	1	1,68,294,188,14,0
5	None	180	1559	2640	3233	1	1,174,880,504,0,0
5	None	115	1166	619	773	1	1,109,580,437,39,0
5	None	80	753	1194	1585	1	1,74,373,280,25,0
6	None	79	1410	1177	1535	1	1,72,502,656,173,6,0
5	None	28	88	51	143	1	1,22,51,14,0,0
6	None	156	5270	3943	4363	1	1,149,1501,2630,941,48,0
6	None	100	1878	789	985	1	1,93,681,881,216,6,0
5	None	66	592	942	1291	1	1,60,296,217,18,0
6	None	142	4228	3237	3656	1	1,135,1274,2099,689,30,0
6	None	65	492	534	893	1	1,58,267,166,0,0,0
6	None	218	9980	2371	2521	1	1,211,2529,5062,2055,122,0
5	None	53	368	201	313	1	1,47,194,119,7,0
5	None	86	981	502	631	1	1,80,455,398,47,0
6	None	190	7462	2727	2947	1	1,183,2015,3761,1424,78,0
6	None	156	4586	3548	3973	1	1,149,1425,2290,698,23,0
6	None	70	1146	979	1311	1	1,63,428,528,123,3,0
5	None	99	1184	1818	2221	1	1,93,549,484,57,0
5	None	64	611	954	1301	1	1,58,293,234,25,0
6	None	238	11238	3996	4223	1	1,231,2841,5721,2310,134,0
5	None	96	1133	581	713	1	1,90,527,461,54,0
6	None	187	7240	5313	5744	1	1,180,1983,3661,1347,68,0
5	None	130	2112	3114	3533	1	1,124,887,948,151,1
6	None	176	6266	2330	2549	1	1,169,1771,3153,1118,54,0
6	None	125	3368	873	1009	1	1,118,1048,1656,523,22,0
6	None	148	4396	485	543	1	1,141,1366,2206,663,19,0
5	None	59	459	738	1091	1	1,53,233,159,13,0
5	None	122	1716	862	1001	1	1,116,767,737,95,0
6	None	177	5868	4449	4880	1	1,170,1757,2977,935,28,0
6	None	88	1422	95	124	1	1,81,547,649,141,3,0
6	None	253	12712	8951	9410	1	1,246,3124,6473,2703,165,0
6	None	78	692	732	1111	1	1,71,366,254,0,0,0
5	None	108	1378	2103	2509	1	1,102,631,574,70,0
5	None	68	622	984	1343	1	1,62,306,231,22,0
6	None	154	4636	3561	3985	1	1,147,1411,2308,739,30,0
5	None	84	967	135	169	1	1,78,447,393,48,0
5	None	129	1770	894	1039	1	1,123,800,752,94,0
6	None	251	10944	3953	4193	1	1,244,2901,5589,2104,105,0
6	None	241	11156	3981	4211	1	1,234,2843,5669,2276,133,0
6	None	204	7818	2879	3106	1	1,197,2164,3957,1430,69,0
6	None	178	5986	4517	4952	1	1,171,1755,3009,1007,43,0
6	None	218	9734	6971	7422	1	1,211,2498,4933,1975,116,0
6	None	205	8234	2003	2153	1	1,198,2226,4172,1557,80,0
6	None	126	3456	538	617	1	1,119,1082,1708,526,20,0
6	None	61	758	685	1018	1	1,54,312,329,61,1,0
6	None	162	2946	1285	1536	1	1,155,1155,1375,260,0,0
6	None	142	2226	2008	2499	1	1,135,920,1002,168,0,0
6	None	289	10176	7698	8245	1	1,282,3023,5158,1652,60,0
6	None	172	5628	1417	1566	1	1,165,1647,2815,957,43,0
5	None	36	112	195	529	1	1,30,65,16,0,0
5	None	89	889	1398	1811	1	1,83,431,339,35,0
6	None	113	1842	1627	2051	1	1,106,736,844,155,0,0
6	None	228	6913	5372	5883	1	1,221,2174,3460,1024,33,0
5	None	49	216	372	749	1	1,43,124,48,0,0
5	None	104	624	1104	1627	1	1,98,368,157,0,0
6	None	140	2130	644	809	1	1,133,886,950,160,0,0
5	None	82	450	801	1261	1	1,76,267,106,0,0
6	None	89	809	413	633	1	1,82,399,299,28,0,0
5	None	87	559	322	473	1	1,81,322,155,0,0
6	None	117	1948	1715	2144	1	1,110,775,897,165,0,0
5	None	68	345	36	61	1	1,62,204,78,0,0
5	None	60	270	159	299	1	1,54,159,56,0,0
5	None	54	281	489	851	1	1,48,163,69,0,0
6	None	129	2032	1826	2285	1	1,122,835,918,156,0,0
6	None	77	898	838	1225	1	1,70,389,378,60,0,0
5	None	51	240	84	157	1	1,45,140,54,0,0
6	None	150	2772	2402	2879	1	1,143,1076,1302,250,0,0
5	None	98	770	255	349	1	1,92,408,252,17,0
5	None	103	1023	1629	2065	1	1,97,510,382,33,0
5	None	34	121	69	173	1	1,28,69,23,0,0
5	None	100	630	1101	1601	1	1,94,367,168,0,0
6	None	379	12885	9932	10533	1	1,372,4086,6666,1760,0,0
5	None	62	280	99	185	1	1,56,165,58,0,0
5	None	120	820	95	131	1	1,114,475,230,0,0
5	None	227	3325	1682	1877	1	1,221,1507,1421,175,0
5	None	150	1753	2742	3253	1	1,144,844,694,70,0
5	None	97	657	1137	1601	1	1,91,379,186,0,0
6	None	175	3442	736	865	1	1,168,1304,1633,336,0,0
5	None	175	2292	3528	4057	1	1,169,1072,946,104,0
5	None	34	109	63	169	1	1,28,63,17,0,0
5	None	134	1620	132	157	1	1,128,763,655,73,0
5	None	70	360	633	1073	1	1,64,211,84,0,0
6	None	196	7772	5681	6122	1	1,189,2109,3935,1463,75,0
6	None	193	8948	1586	1693	1	1,186,2228,4525,1888,120,0
6	None	90	2018	1616	1973	1	1,83,668,976,280,10,0
5	None	101	1185	1833	2233	1	1,95,557,478,54,0
6	None	163	5688	1057	1165	1	1,156,1595,2843,1038,55,0
5	None	111	1388	2124	2545	1	1,105,640,574,68,0
6	None	164	6268	4589	5002	1	1,157,1700,3157,1189,64,0
6	None	87	1384	1202	1583	1	1,80,532,630,138,3,0
6	None	49	336	92	169	1	1,42,184,109,0,0,0
5	None	43	248	136	243	1	1,37,131,74,5,0
5	None	73	672	1065	1439	1	1,67,333,249,22,0
6	None	198	8552	6150	6583	1	1,191,2216,4326,1718,100,0
6	None	90	2014	1612	1971	1	1,83,666,974,280,10,0
6	None	133	3774	2929	3322	1	1,126,1178,1877,573,19,0
6	None	125	3284	644	745	1	1,118,1046,1617,484,18,0
6	None	272	16224	5556	5789	1	1,265,3624,8177,3854,302,1
6	None	259	12974	4573	4805	1	1,252,3203,6613,2740,165,0
6	None	153	4964	1876	2083	1	1,146,1457,2485,838,37,0
6	None	173	5556	4231	4665	1	1,166,1665,2788,901,35,0
6	None	277	14348	10071	10541	1	1,270,3499,7316,3073,189,0
6	None	199	7814	1433	1543	1	1,192,2147,3967,1438,69,0
5	None	55	328	564	905	1	1,49,188,90,0,0
5	None	81	830	1299	1679	1	1,75,400,321,33,0
6	None	201	7736	5689	6142	1	1,194,2134,3917,1421,69,0
6	None	170	6256	924	1009	1	1,163,1739,3154,1142,57,0
6	None	158	5834	4296	4705	1	1,151,1606,2936,1084,56,0
5	None	104	1300	662	797	1	1,98,597,539,65,0
6	None	272	14046	9862	10329	1	1,265,3431,7166,3000,183,0
5	None	29	108	27	65	1	1,23,63,21,0,0
6	None	165	4892	948	1055	1	1,158,1529,2447,734,23,0
6	None	119	3102	487	565	1	1,112,986,1522,463,18,0
6	None	142	4212	3245	3647	1	1,135,1300,2112,645,19,0
5	None	136	2115	1048	1193	1	1,130,904,935,144,1
6	None	119	3216	1254	1445	1	1,112,1009,1585,490,19,0
6	None	198	7890	5763	6206	1	1,191,2139,3999,1485,75,0
6	None	47	280	310	631	1	1,40,155,84,0,0,0
5	None	86	997	1533	1907	1	1,80,463,405,48,0
6	None	395	29872	19889	20387	1	1,388,6099,15062,7671,649,2
5	None	56	370	203	323	1	1,50,195,116,8,0
6	None	138	4366	3303	3703	1	1,131,1282,2180,739,33,0
5	None	119	1567	794	937	1	1,113,714,659,80,0
6	None	173	5392	1034	1143	1	1,166,1648,2709,840,28,0
5	None	109	1445	2187	2597	1	1,103,650,612,79,0
6	None	198	6726	1696	1847	1	1,191,2001,3410,1086,37,0
6	None	134	3308	1321	1531	1	1,127,1093,1617,456,14,0
5	None	104	1109	579	725	1	1,98,534,431,45,0
6	None	22	36	40	297	1	1,15,20,0,0,0,0
6	None	277	11454	4184	4441	1	1,270,3116,5827,2136,104,0
6	None	315	12394	9166	9725	1	1,308,3483,6306,2200,96,0
5	None	54	240	141	271	1	1,48,141,50,0,0
5	None	178	2305	3552	4097	1	1,172,1075,948,109,0
6	None	191	6848	2539	2775	1	1,184,1915,3437,1248,63,0
6	None	228	5923	4792	5313	1	1,221,2047,2956,698,0,0
5	None	33	167	273	557	1	1,27,88,48,3,0
6	None	261	9013	6809	7349	1	1,254,2650,4536,1509,63,0
6	None	82	1153	1031	1411	1	1,75,467,512,97,1,0
6	None	121	1603	1509	1973	1	1,114,707,686,95,0,0
6	None	202	4188	3568	4105	1	1,195,1584,2008,400,0,0
6	None	74	780	124	189	1	1,67,349,317,46,0,0
6	None	289	8106	811	882	1	1,282,2754,4089,980,0,0
6	None	112	1644	743	965	1	1,105,681,733,124,0,0
5	None	107	785	1347	1817	1	1,101,449,234,0,0
6	None	379	16851	6097	6397	1	1,372,4482,8605,3230,161,0
6	None	200	5625	4414	4915	1	1,193,1791,2778,832,30,0
5	None	70	355	42	71	1	1,64,210,80,0,0
6	None	180	3696	3142	3649	1	1,173,1392,1772,358,0,0
5	None	40	144	36	85	1	1,34,84,25,0,0
6	None	26	108	7	23	1	1,19,55,31,2,0,0
5	None	153	1834	952	1123	1	1,147,876,734,76,0
5	None	208	1986	3324	3911	1	1,202,1108,675,0,0
5	None	107	1079	570	721	1	1,101,532,407,38,0
5	None	99	629	1101	1589	1	1,93,367,168,0,0
5	None	56	250	441	841	1	1,50,147,52,0,0
6	None	232	5234	4381	4941	1	1,225,1917,2544,547,0,0
5	None	138	1797	915	1073	1	1,132,825,749,90,0
5	None	230	3193	1634	1831	1	1,224,1484,1334,150,0
5	None	276	4694	2324	2525	1	1,270,2034,2099,290,0
5	None	77	628	1020	1421	1	1,71,324,216,16,0
6	None	233	5120	4333	4883	1	1,226,1916,2476,501,0,0
6	None	155	4920	170	189	1	1,148,1467,2465,806,33,0
6	None	227	11204	7883	8334	1	1,220,2724,5661,2435,163,0
6	None	103	2228	1806	2197	1	1,96,756,1072,294,9,0
6	None	142	3444	2785	3206	1	1,135,1176,1689,433,10,0
6	None	178	6274	4686	5119	1	1,171,1797,3164,1092,49,0
6	None	141	4660	3497	3896	1	1,134,1343,2333,811,38,0
6	None	194	7344	903	977	1	1,187,2044,3719,1330,63,0
5	None	121	1862	307	353	1	1,115,793,824,128,1
5	None	154	2602	3828	4277	1	1,148,1092,1176,184,1
5	None	146	2247	1117	1265	1	1,140,983,989,134,0
5	None	134	2114	3135	3563	1	1,128,901,939,144,1
6	None	146	4686	393	439	1	1,139,1368,2340,801,37,0
5	None	55	458	726	1057	1	1,49,228,166,14,0
5	None	118	1823	900	1037	1	1,112,773,809,127,1
6	None	197	7684	5636	6081	1	1,190,2108,3896,1420,69,0
5	None	116	1503	763	905	1	1,110,686,629,77,0
6	None	140	3868	3023	3431	1	1,133,1221,1910,581,22,0
6	None	158	4252	3361	3795	1	1,151,1381,2102,599,18,0
5	None	74	526	891	1273	1	1,68,297,160,0,0
6	None	153	4284	3343	3776	1	1,146,1357,2133,629,18,0
5	None	92	1095	48	59	1	1,86,507,448,53,0
5	None	81	797	1254	1643	1	1,75,388,303,30,0
5	None	100	804	1350	1783	1	1,94,450,259,0,0
6	None	116	3048	1193	1385	1	1,109,963,1497,460,18,0
5	None	132	2096	3102	3529	1	1,126,888,934,146,1
5	None	41	218	363	679	1	1,35,118,61,3,0
6	None	153	5334	3975	4379	1	1,146,1516,2684,943,44,0
6	None	136	3708	2903	3309	1	1,129,1179,1836,545,18,0
6	None	158	5366	4022	4437	1	1,151,1545,2694,932,43,0
6	None	67	566	75	119	1	1,60,300,205,0,0,0
5	None	96	1421	162	191	1	1,90,600,627,102,1
5	None	30	106	177	469	1	1,24,59,22,0,0
6	None	104	2080	1730	2119	1	1,97,744,990,242,6,0
6	None	311	17448	12099	12589	1	1,304,4103,8892,3893,255,0
6	None	122	2856	2309	2708	1	1,115,971,1393,367,9,0
5	None	60	366	633	985	1	1,54,211,100,0,0
6	None	185	7394	5395	5817	1	1,178,2000,3750,1395,70,0
6	None	183	7394	1343	1450	1	1,176,1969,3735,1434,79,0
6	None	151	4340	3373	3794	1	1,144,1367,2171,639,18,0
6	None	183	6006	4569	5006	1	1,176,1807,3035,955,32,0
5	None	106	1428	2160	2551	1	1,100,641,607,79,0
6	None	292	15432	10802	11283	1	1,285,3735,7872,3332,207,0
6	None	224	9654	6965	7426	1	1,217,2535,4903,1895,103,0
6	None	283	11828	1078	1143	1	1,276,3199,6015,2226,111,0
6	None	204	5483	1451	1622	1	1,197,1793,2701,767,24,0
6	None	277	10123	7579	8116	1	1,270,2926,5129,1727,70,0
6	None	76	1102	975	1334	1	1,69,439,495,97,1,0
6	None	144	2355	2103	2590	1	1,137,959,1073,185,0,0
6	None	216	5604	4531	5034	1	1,209,1934,2797,663,0,0
6	None	58	366	399	769	1	1,51,197,112,5,0,0
6	None	215	6351	4946	5455	1	1,208,1999,3162,948,33,0
5	None	98	728	5	7	1	1,92,392,230,13,0
6	None	142	2235	2029	2502	1	1,135,935,1005,159,0,0
6	None	66	725	682	1039	1	1,59,319,302,44,0,0
6	None	123	1545	1471	1955	1	1,116,691,648,89,0,0
5	None	102	996	1587	2029	1	1,96,496,370,33,0
6	None	146	2710	2345	2811	1	1,139,1049,1274,247,0,0
5	None	102	928	499	651	1	1,96,472,332,27,0
6	None	387	15102	11255	11859	1	1,380,4344,7708,2567,102,0
6	None	160	3310	2795	3271	1	1,153,1233,1594,329,0,0
6	None	132	1920	877	1122	1	1,125,807,847,140,0,0
5	None	122	1439	744	895	1	1,116,680,578,64,0
6	None	329	11880	448	477	1	1,322,3499,6019,1962,77,0
6	None	226	5586	1525	1701	1	1,219,1975,2766,625,0,0
6	None	59	538	520	877	1	1,52,245,210,30,0,0
6	None	275	7921	6293	6840	1	1,268,2654,4013,985,0,0
5	None	42	174	300	643	1	1,36,100,37,0,0
6	None	208	4618	3873	4405	1	1,201,1705,2248,463,0,0
6	None	86	1056	164	231	1	1,79,457,449,70,0,0
6	None	200	4122	3518	4051	1	1,193,1564,1974,390,0,0
6	None	45	240	257	597	1	1,38,126,70,5,0,0
5	None	338	5754	8574	9247	1	1,332,2515,2563,343,0
5	None	230	3439	5214	5777	1	1,224,1560,1476,178,0
5	None	346	6679	9771	10399	1	1,340,2780,3079,477,2
5	None	83	797	1266	1655	1	1,77,395,297,27,0
6	None	358	11277	8831	9435	1	1,351,3684,5778,1463,0,0
6	None	313	9028	7183	7779	1	1,306,3034,4572,1115,0,0
6	None	220	5748	4640	5151	1	1,213,1980,2874,680,0,0
5	None	167	2164	3330	3853	1	1,161,1007,892,103,0
5	None	185	2204	3450	4033	1	1,179,1059,874,91,0
5	None	289	4630	2322	2527	1	1,283,2067,2024,255,0
5	None	200	2340	1231	1431	1	1,194,1146,914,85,0
5	None	235	3055	4746	5371	1	1,229,1449,1243,133,0
6	None	324	10469	4071	4351	1	1,317,3376,5385,1390,0,0
6	None	362	12274	9463	10046	1	1,355,3894,6349,1675,0,0
5	None	114	784	1365	1873	1	1,108,455,220,0,0
5	None	176	2149	1118	1299	1	1,170,1028,860,90,0
6	None	334	9861	7825	8426	1	1,327,3301,5009,1223,0,0
5	None	77	557	942	1331	1	1,71,314,171,0,0
6	None	163	5720	4266	4681	1	1,156,1632,2884,1002,45,0
6	None	218	10188	2414	2561	1	1,211,2565,5172,2112,127,0
6	None	169	6340	2333	2543	1	1,162,1751,3205,1164,57,0
5	None	62	471	256	375	1	1,56,244,158,12,0
6	None	111	2528	255	304	1	1,104,852,1225,336,10,0
6	None	96	2004	1630	2011	1	1,89,680,954,270,10,0
5	None	116	1546	782	921	1	1,110,699,653,83,0
6	None	171	5384	1031	1138	1	1,164,1642,2709,840,28,0
5	None	57	335	579	929	1	1,51,193,90,0,0
6	None	256	14404	2485	2602	1	1,249,3288,7251,3354,260,1
6	None	89	1812	497	615	1	1,82,634,866,223,6,0
6	None	360	26042	5809	5971	1	1,353,5398,13118,6611,559,2
5	None	91	1075	549	679	1	1,85,497,440,52,0
6	None	261	14256	9903	10358	1	1,254,3361,7247,3181,212,0
6	None	208	9206	1649	1760	1	1,201,2366,4665,1864,109,0
6	None	177	5620	4291	4733	1	1,170,1693,2816,905,35,0
5	None	90	1062	1626	2015	1	1,84,488,435,54,0
5	None	115	1513	177	209	1	1,109,690,636,77,0
6	None	200	7994	5839	6281	1	1,193,2166,4050,1507,77,0
6	None	171	5306	4079	4507	1	1,164,1631,2666,817,27,0
5	None	123	1733	201	233	1	1,117,775,744,96,0
6	None	133	3652	949	1084	1	1,126,1145,1801,557,22,0
5	None	118	1519	2316	2749	1	1,112,698,634,74,0
5	None	98	1116	1728	2135	1	1,92,526,447,50,0
6	None	115	2668	2151	2542	1	1,108,895,1291,361,12,0
6	None	180	6208	4661	5095	1	1,173,1797,3122,1067,48,0
6	None	132	3526	2762	3173	1	1,125,1118,1736,526,20,0
6	None	314	17238	6003	6247	1	1,307,4111,8793,3784,242,0
5	None	177	3251	4740	5207	1	1,171,1327,1497,253,2
6	None	97	2132	246	299	1	1,90,717,1026,288,10,0
6	None	127	3388	443	509	1	1,120,1080,1671,498,18,0
6	None	250	10134	7427	7911	1	1,243,2784,5160,1859,87,0
6	None	228	9224	1685	1803	1	1,221,2508,4685,1724,85,0
6	None	144	4306	1653	1858	1	1,137,1309,2143,688,28,0
6	None	173	6102	1138	1245	1	1,166,1741,3075,1070,49,0
6	None	115	2614	1059	1256	1	1,108,888,1265,342,10,0
5	None	201	4204	6036	6509	1	1,195,1640,1992,372,4
6	None	286	17472	3979	4135	1	1,279,3878,8816,4171,326,1
6	None	220	8750	6417	6878	1	1,213,2407,4451,1603,75,0
6	None	175	6552	1608	1751	1	1,168,1805,3302,1214,62,0
5	None	66	459	258	379	1	1,60,258,140,0,0
6	None	244	10144	107	114	1	1,237,2727,5151,1929,99,0
6	None	145	4324	3329	3735	1	1,138,1329,2162,671,23,0
6	None	104	2350	633	758	1	1,97,795,1139,309,9,0
5	None	138	2128	3168	3599	1	1,132,924,939,132,0
6	None	74	628	335	521	1	1,67,335,225,0,0,0
6	None	230	10392	7432	7901	1	1,223,2672,5292,2088,116,0
6	None	196	7464	5505	5947	1	1,189,2078,3784,1349,63,0
6	None	174	5554	4231	4672	1	1,167,1660,2775,911,40,0
6	None	136	3736	1457	1662	1	1,129,1174,1845,566,21,0
6	None	318	18736	1433	1487	1	1,311,4310,9548,4277,289,0
6	None	245	14624	10001	10445	1	1,238,3247,7362,3497,278,1
6	None	205	7236	2705	2942	1	1,198,2074,3645,1262,56,0
6	None	180	3012	2702	3249	1	1,173,1236,1372,230,0,0
6	None	123	2196	1891	2335	1	1,116,837,1022,217,3,0
6	None	187	6387	4795	5252	1	1,180,1844,3205,1107,50,0
6	None	274	9381	7134	7669	1	1,267,2819,4744,1496,54,0
6	None	108	1666	186	239	1	1,101,679,755,130,0,0
6	None	324	12510	4643	4931	1	1,317,3543,6353,2200,96,0
6	None	209	5730	1511	1683	1	1,202,1861,2828,811,27,0
6	None	243	10176	1846	1969	1	1,236,2709,5159,1966,105,0
6	None	287	11395	8386	8927	1	1,280,3156,5788,2074,96,0
5	None	155	2073	1054	1221	1	1,149,947,869,107,0
6	None	211	7513	5614	6091	1	1,204,2153,3790,1308,57,0
5	None	40	156	273	605	1	1,34,91,30,0,0
5	None	117	1200	633	793	1	1,111,588,455,45,0
5	None	133	1081	612	781	1	1,127,612,341,0,0
6	None	317	10135	3952	4227	1	1,310,3287,5207,1330,0,0
5	None	178	2476	3774	4291	1	1,172,1132,1045,126,0
5	None	243	3956	5913	6475	1	1,237,1743,1747,228,0
6	None	117	1950	569	715	1	1,110,766,898,175,0,0
6	None	226	6336	4994	5531	1	1,219,2042,3134,910,30,0
5	None	174	2694	4026	4529	1	1,168,1168,1182,174,1
6	None	146	2759	2375	2843	1	1,139,1062,1306,251,0,0
6	None	167	4386	3471	3943	1	1,160,1420,2152,631,22,0
5	None	81	491	855	1297	1	1,75,285,130,0,0
5	None	99	659	380	541	1	1,93,380,185,0,0
6	None	185	3861	1639	1890	1	1,178,1449,1853,380,0,0
6	None	271	6125	5164	5761	1	1,264,2278,2974,608,0,0
6	None	278	8046	2129	2312	1	1,271,2692,4079,1003,0,0
6	None	272	7993	6313	6860	1	1,265,2649,4063,1015,0,0
6	None	270	6312	352	391	1	1,263,2320,3088,640,0,0
5	None	79	489	846	1279	1	1,73,282,133,0,0
5	None	94	498	296	473	1	1,88,296,113,0,0
6	None	210	5299	4321	4812	1	1,203,1861,2635,599,0,0
5	None	284	4360	439	483	1	1,278,1953,1886,242,0
5	None	224	3487	1745	1933	1	1,218,1544,1523,201,0
6	None	78	804	768	1181	1	1,71,360,324,48,0,0
6	None	282	7084	5831	6410	1	1,275,2536,3513,759,0,0
6	None	258	6913	5569	6121	1	1,251,2372,3464,825,0,0
5	None	251	4310	2129	2319	1	1,245,1848,1934,281,1
6	None	164	3516	2959	3418	1	1,157,1302,1701,355,0,0
6	None	360	11437	104	111	1	1,353,3730,5869,1484,0,0
5	None	133	1378	30	37	1	1,127,680,520,50,0
6	None	380	12914	9950	10557	1	1,373,4090,6680,1770,0,0
6	None	370	11524	9052	9671	1	1,363,3786,5894,1480,0,0
6	None	294	16344	3783	3940	1	1,287,3859,8329,3631,237,0
5	None	108	1566	2340	2737	1	1,102,675,682,105,1
5	None	156	2822	4116	4555	1	1,150,1150,1297,222,2
6	None	221	10094	3603	3826	1	1,214,2569,5119,2068,123,0
6	None	107	2358	1915	2299	1	1,100,798,1128,319,12,0
5	None	94	1152	1749	2153	1	1,88,522,480,61,0
6	None	239	10658	7663	8122	1	1,232,2783,5435,2097,110,0
6	None	221	9112	1105	1182	1	1,214,2448,4625,1734,90,0
6	None	194	8316	2991	3208	1	1,187,2155,4203,1672,98,0
