g6	n	m	Q	bip	dist	phi	tf	mtf
NFZ_wwK?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_gw[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_wg[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_wwS?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ow[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_wo[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_wwW?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?WF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wB?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?KwFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?gF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wD?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?SwFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?oF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wE?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?WwFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?[wBwF[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwB[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwF[@_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wDwF[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwD[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwF[A_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wEwF[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwE[B_	15	43	15	8	2	000111222333444	1	0
NFZ_ww[?wF?[wFwF[B?	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NDx_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFh_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFw_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[gFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[wFgF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[wFwFSB_	15	43	15	7	2	333444000111222	1	0
NEx_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFp_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx?ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[oFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[wFoF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ww[?wF?[wFwFWB_	15	43	15	7	2	333444000111222	1	0
NFx_Ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_wW[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_wwK?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_gw[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_wg[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_wwS?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFx_ow[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_wo[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_wwW?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?WF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wB?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wF?KwFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?gF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wD?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wF?SwFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?oF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wE?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NFx_ww[?wF?WwFwF[B_	15	43	15	8	2	333444000111222	1	0
