g6	n	Q	bip	dist	Rnum	Rden	R	w
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=2,3,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,1,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,0,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,2,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,2,3,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,4,1,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,1,0,3,2,5,5
*** psi >= 1/25 : H?bF`xw Q=20 bip=16 dist=0 w=1,3,4,0,0,4,4,4,0
J?BD@g]Qvo?	11	23	18	36	900	79	11.3924	2,2,2,2,2,2,2,2,2,2,3
J?`F?|wlF_?	11	23	18	33	825	79	10.4430	2,2,2,0,3,3,3,2,3,3,0
J?BDB?{Ucq?	11	21	12	40	1000	141	7.0922	2,2,2,1,2,2,2,2,2,2,2
J?BD@g]Qvo?	11	24	19	43	1075	101	10.6436	1,3,2,2,1,2,3,2,3,2,3
J?`F?|wlF_?	11	24	19	44	1100	101	10.8911	3,3,1,1,3,3,1,2,3,3,1
J?BDB?{Ucq?	11	22	14	42	1050	134	7.8358	3,1,3,2,0,2,2,2,3,1,3
J?BD@g]Qvo?	11	25	21	43	1075	100	10.7500	2,1,1,2,2,3,3,3,2,3,3
J?BFF?{}?}?	11	20	12	19	475	100	4.7500	2,1,2,2,1,2,1,2,3,2,2
J?BDB?{Ucq?	11	23	16	40	1000	129	7.7519	2,3,2,1,2,1,2,3,1,3,3
J?`F?|wlF_?	11	25	21	45	1125	100	11.2500	3,3,1,1,3,3,1,3,3,3,1
J?BFF?{}?}?	11	21	12	19	475	141	3.3688	2,1,2,1,3,2,3,0,3,2,2
J?BFF?{}?}?	11	22	15	19	475	109	4.3578	1,2,3,1,2,3,3,0,3,2,2
JCOf@pSb?{?	11	20	12	40	1000	100	10.0000	2,2,2,2,2,2,2,2,2,2,0
J?BFF?{}?}?	11	23	15	24	600	154	3.8961	1,2,2,1,2,3,2,2,3,3,2
J?BDB?{Ucq?	11	24	18	47	1175	126	9.3254	3,3,2,1,1,2,3,3,0,3,3
J?BFF?{}?}?	11	24	18	27	675	126	5.3571	1,2,3,2,1,3,1,2,3,3,3
J?BFF?{}?}?	11	25	17	28	700	200	3.5000	1,3,3,2,2,3,2,2,3,2,2
JCOf@pSb?{?	11	21	14	29	725	91	7.9670	3,2,1,2,2,2,2,1,2,3,1
JCOf@pSb?{?	11	22	16	33	825	84	9.8214	0,3,3,2,2,2,2,3,3,0,2
J?BDB?{Ucq?	11	25	19	54	1350	150	9.0000	2,2,3,1,2,2,2,3,3,2,3
J?`cn@w]?y?	11	20	12	27	675	100	6.7500	3,2,0,2,1,3,2,2,0,3,2
J?`cn@w]?y?	11	21	14	33	825	91	9.0659	3,1,2,2,2,2,3,2,1,2,1
J?BD?{{Ufo?	11	20	13	25	625	75	8.3333	1,2,3,1,2,3,2,1,2,2,1
JCOf@pSb?{?	11	23	16	40	1000	129	7.7519	3,2,2,2,2,2,2,2,2,3,1
J?`cn@w]?y?	11	22	16	33	825	84	9.8214	3,1,2,2,2,2,3,2,1,2,2
J?BD?{{Ufo?	11	21	14	33	825	91	9.0659	0,3,3,0,1,3,3,2,2,2,2
J?`cn@w]?y?	11	23	18	33	825	79	10.4430	3,1,2,2,2,2,3,2,1,2,3
J?BD?{{Ufo?	11	22	16	33	825	84	9.8214	0,3,3,0,2,3,3,2,2,2,2
JCOf@pSb?{?	11	24	18	47	1175	126	9.3254	3,3,0,3,3,2,2,2,3,3,0
J?`cn@w]?y?	11	24	18	45	1125	126	8.9286	3,1,2,3,3,3,3,3,1,2,0
J?BD?{{Ufo?	11	23	17	36	900	104	8.6538	2,3,2,0,3,3,3,0,3,3,1
J?`cn@w]?y?	11	25	21	39	975	100	9.7500	3,0,3,2,2,3,3,3,2,2,2
J?BD?{{Ufo?	11	24	19	41	1025	101	10.1485	2,3,2,0,2,3,3,1,3,3,2
JCOf@pSb?{?	11	25	19	51	1275	150	8.5000	3,3,1,2,3,3,1,2,3,3,1
J?BD?{{Ufo?	11	25	21	39	975	100	9.7500	0,3,3,0,2,4,3,2,2,3,3
J?bFF`wN?{?	11	20	12	19	475	100	4.7500	2,1,2,2,2,2,2,2,2,1,2
J?bFF`wN?{?	11	21	14	16	400	91	4.3956	3,1,2,2,2,2,2,2,2,2,1
J?bFF`wN?{?	11	22	16	24	600	84	7.1429	2,2,2,2,2,2,2,2,2,2,2
J?bFF`wN?{?	11	23	16	24	600	129	4.6512	3,2,2,2,2,2,2,2,2,2,2
J?bFF`wN?{?	11	24	18	26	650	126	5.1587	2,3,2,2,3,2,2,2,2,2,2
J?bFF`wN?{?	11	25	20	24	600	125	4.8000	3,2,3,2,3,2,2,2,2,2,2
