N??????w?{{LF{~w^{?	15	39	3
N??????w?~b}F{F{^{?	15	40	3
N??????w?~b}F{~w^{?	15	42	3
N??????w?~b}~w~w^{?	15	44	2
N??????w?~~{~w~w^{?	15	46	1
N??????wCo?~F{Xy^{?	15	35	4
N??????wCoBa@}Wz^{?	15	32	5
N??????wCoBqWZ@}^{?	15	32	5
N??????wCoB}XyF{^{?	15	36	3
N??????wCoB}Xy~w^{?	15	38	2
N??????wCoN?`xF{K|?	15	30	3
N??????wCwK\F{F{^{?	15	36	3
N??????wCwK\F{~w^{?	15	38	2
N??????wCwK\WyF{^{?	15	35	3
N??????wCwO[Wy^@B}?	15	30	3
N??????wCwR_F{Wz^{?	15	34	3
N??????wE_@~F{Jy^{?	15	36	4
N??????wE_B}F{Jy^{?	15	36	3
N??????wE_B}Jy~w^{?	15	38	2
N??????wE_[?JyF|^{?	15	33	3
N??????wEo?~HyF{^{?	15	35	4
N??????wEoC|F{F{^{?	15	36	3
N??????wEoC|F{~w^{?	15	38	2
N??????wEoC|HyF{^{?	15	35	3
N??????wEoZ?HzF{^{?	15	34	3
N??????wF?BbwxF}^{?	15	35	5
N??????wF?B~F}F}^{?	15	39	3
N??????wF?B~F}~w^{?	15	40	4
N??????wF?B~~w~w^{?	15	41	2
N??????wF?R?XxF}^{?	15	33	3
N??????wF?R_WxF}^{?	15	33	3
N??????wF?Z?HxF}^{?	15	33	3
N??????wF?[?~wF~^{?	15	36	3
N??????wF?]?F}B~^{?	15	35	4
N??????wF?^?@~F}^{?	15	35	5
N??????wF_BqwXB}^{?	15	34	4
N??????wF_B}B}B}^{?	15	37	4
N??????wF_B}B}~w^{?	15	39	3
N??????wF_B}F{B}^{?	15	37	4
N??????wF_\?B}D|^{?	15	34	4
N??????wF_]?F{B~^{?	15	35	4
N??????wFo^?@~F{^{?	15	36	4
N??????{?]`}{I~w^{?	15	39	3
N??????{?^`}~w~w^{?	15	43	2
N??????{?^~{~w~w^{?	15	46	1
N??????{C[@}B{[Y^{?	15	35	3
N??????{C[@}[Y~w^{?	15	38	2
N??????{EW@}B{Ky^{?	15	35	3
N??????{EW@}Ky~w^{?	15	38	2
N??????{EWF_B{KyW[_	15	30	3
N??????{FO?~B{Dy^{?	15	35	4
N??????{FO@}B{Dy^{?	15	35	3
N??????{FO@}Dy~w^{?	15	38	2
N??????{FO]?DyB|^{?	15	34	3
N??????{F_@~B}B}^{?	15	38	4
N??????{F_@~B}~w^{?	15	40	4
N??????{F_@~~w~w^{?	15	42	2
N??????{F_Po[XB}^{?	15	34	3
N??????{F_X_KxB}^{?	15	34	3
N??????{F_]?B~B~^{?	15	37	4
N??????{F_]?B~~w^{?	15	38	3
N??????{F_]?{?~w@~o	15	34	4
N??????{F_^?B}@~^{?	15	36	5
N??????{Fo^?B{@~^{?	15	36	4
N??????}Fo^?@~~w^{?	15	40	3
N??????}Fo^?}?@~~{?	15	37	4
N??????~~~^{~w~w^{?	15	54	0
N????A?O@?^wN{VyRz?	15	35	3
N????A?O@_XxB}^wVy?	15	34	4
N????A?O@oWx@}^wVy?	15	33	4
N????A?OF?B~F}^wVy?	15	37	3
N????A?OF?B~^w^wVy?	15	37	3
N????A?OF?B~^wnsF}?	15	37	3
N????A?OF?CEFr^wVy?	15	31	4
N????A?OF?^wF}^wVy?	15	37	3
N????A?OF_@~B}^wVy?	15	36	4
N????A?OF_@~^w^wVy?	15	37	3
N????A?OF_@~^wnsF}?	15	37	3
N????A?OF_@~~o^wVy?	15	37	3
N????A?OF_EEBr^wVy?	15	32	4
N????A?OF_]?^wns@~_	15	34	4
N????A?OFo?~^wnsN{?	15	37	3
N????A?OFo?~^wns^w?	15	37	3
N????A?OFo^?@~^wVy?	15	35	4
N????A?OF}F}^wns^w?	15	42	2
N????A?W?oOzF{Xy^w?	15	33	5
N????A?W?wOZWyF{^w?	15	32	5
N????A?WB?]?fuB~N{?	15	33	4
N????A?WB?^?@~^wRz?	15	33	5
N????A?WB?^wfu^wB~?	15	37	5
N????A?WC_b}F{Zy^w?	15	36	4
N????A?WC_b}ZyZy^w?	15	37	3
N????A?WC_b}Zy^w^w?	15	37	3
N????A?WC_b}Zy~o^w?	15	37	4
N????A?WC_mCBrF{^w?	15	31	4
N????A?WC_ryF{~oL|?	15	36	4
N????A?WC_{?~oZyB}_	15	33	5
N????A?WCob}F{Xy^w?	15	36	4
N????A?WCob}XyXy^w?	15	36	4
N????A?WCob}Xy^w^w?	15	37	4
N????A?WCob}Xy~o^w?	15	37	4
N????A?WCorAF{Xz^w?	15	34	5
N????A?WCoryF{Xy^w?	15	36	4
N????A?WCwk\F{F{^w?	15	36	4
N????A?WCwk\F{^w^w?	15	37	4
N????A?WCwk\F{fs^w?	15	36	4
